NaiveBays;ArvoredeDecisao;RandomForest;SVM
0,9245000000000001;0,986;0,9879999999999999;0,946
0,9255000000000001;0,9884999999999999;0,9879999999999999;0,9474999999999998
0,925;0,9854999999999998;0,9874999999999998;0,9475
0,9259999999999999;0,9869999999999999;0,9884999999999999;0,9445
0,9250000000000002;0,9879999999999999;0,9829999999999999;0,9480000000000001
0,9259999999999999;0,9884999999999999;0,9875;0,9465
0,9254999999999999;0,9875;0,9860000000000001;0,9454999999999998
0,9265000000000001;0,985;0,9875;0,9465
0,9255000000000001;0,9884999999999999;0,9889999999999999;0,9480000000000001
0,925;0,9879999999999999;0,99;0,9455
0,9254999999999999;0,986;0,9865;0,9465
0,9259999999999999;0,9865;0,986;0,9465
0,9254999999999999;0,9869999999999999;0,9869999999999999;0,945
0,9264999999999999;0,9915;0,9884999999999999;0,9460000000000001
0,9259999999999999;0,9884999999999999;0,9889999999999999;0,9454999999999998
0,9245000000000001;0,9855;0,9884999999999998;0,9469999999999998
0,9269999999999999;0,9904999999999999;0,9870000000000001;0,9465
0,9255000000000001;0,9884999999999998;0,9879999999999999;0,9484999999999999
0,9265000000000001;0,9865;0,9889999999999999;0,9454999999999998
0,9259999999999999;0,9889999999999999;0,9869999999999999;0,945
0,925;0,9889999999999999;0,9890000000000001;0,9454999999999998
0,9270000000000002;0,9865;0,9875;0,9480000000000001
0,9270000000000002;0,99;0,9879999999999999;0,946
0,9254999999999999;0,9889999999999999;0,9894999999999999;0,9465
0,9255000000000001;0,9895000000000002;0,9875;0,9470000000000001
0,925;0,9894999999999999;0,9884999999999999;0,946
0,9269999999999999;0,9870000000000001;0,9854999999999998;0,946
0,9254999999999999;0,9875;0,9865;0,9455
0,9259999999999999;0,9864999999999998;0,9884999999999999;0,9465
0,9260000000000002;0,9869999999999999;0,9904999999999999;0,944
